text_id,provider_type,source_type,provider_name,text,source_url,created_at
ADD_PHARM_0013,PHARMACY,notice,건강약국,가루약은 물에 타서 복용하거나 그대로 입에 넣고 물로 삼키세요.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0020,PHARMACY,notice,온누리약국,"진통제는 통증이 심할 때 복용하되, 하루 최대 용량을 초과하지 마세요.",https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0023,PHARMACY,notice,온누리약국,알레르기약은 졸음이 올 수 있으니 운전 전 복용을 피하세요.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0024,PHARMACY,notice,강남약국,여러 약을 함께 복용할 때는 약사에게 상호작용 여부를 확인하세요.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0025,PHARMACY,notice,서울약국,냉장 보관이 필요한 약은 약봉지에 표시되어 있습니다.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0026,PHARMACY,notice,참약국,어린이 약은 체중과 나이에 따라 용량이 다르므로 정확한 복용이 중요합니다.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_PHARM_0035,PHARMACY,notice,강남약국,노인 환자는 약물 대사가 느려 용량 조절이 필요할 수 있습니다.,https://example.com/pharmacy/guide/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0001,CHECKUP_CENTER,faq,아산병원건강증진센터,"암 검진은 위암, 대장암, 간암, 유방암, 자궁경부암을 대상으로 합니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0002,CHECKUP_CENTER,faq,삼성서울병원건강의학센터,유방촬영은 유방암 조기 발견에 가장 효과적인 검사입니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0003,CHECKUP_CENTER,faq,삼성서울병원건강의학센터,심장 초음파는 심장 구조와 기능을 평가합니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0004,CHECKUP_CENTER,faq,세브란스건강증진센터,유소견 판정 시 추가 검사나 치료가 필요할 수 있습니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0005,CHECKUP_CENTER,faq,서울대병원건강증진센터,학생 건강검진은 초·중·고등학교에서 매년 시행됩니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0006,CHECKUP_CENTER,faq,세브란스건강증진센터,수면 내시경은 진정제를 사용해 검사 중 불편감을 최소화합니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0008,CHECKUP_CENTER,faq,서울대병원건강증진센터,정상 판정을 받아도 정기적인 건강검진이 필요합니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0010,CHECKUP_CENTER,faq,아산병원건강증진센터,"소변검사는 신장 질환, 당뇨, 요로감염 등을 조기 발견하는 데 도움이 됩니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0011,CHECKUP_CENTER,faq,세브란스건강증진센터,"흉부 X-ray는 폐렴, 결핵, 폐암 등 폐 질환을 확인합니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0015,CHECKUP_CENTER,faq,세브란스건강증진센터,"복부 초음파는 간, 담낭, 췌장, 신장, 비장 등을 확인합니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0016,CHECKUP_CENTER,faq,세브란스건강증진센터,"난소 초음파는 난소 종양, 낭종 등을 확인합니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0018,CHECKUP_CENTER,faq,삼성서울병원건강의학센터,"혈액검사는 빈혈, 혈당, 콜레스테롤, 간 기능, 신장 기능 등을 확인합니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0019,CHECKUP_CENTER,faq,서울대병원건강증진센터,수면 내시경 후에는 운전이 불가능하므로 대중교통을 이용하세요.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0025,CHECKUP_CENTER,faq,서울대병원건강증진센터,"대장내시경은 대장암, 용종 등을 조기 발견하고 제거할 수 있습니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0026,CHECKUP_CENTER,faq,세브란스건강증진센터,"위내시경은 위암, 위염, 위궤양 등을 조기 발견할 수 있습니다.",https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0033,CHECKUP_CENTER,faq,삼성서울병원건강의학센터,자궁경부암 검사는 세포 검사로 간단하게 시행됩니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
ADD_CHK_0035,CHECKUP_CENTER,faq,아산병원건강증진센터,일반 건강검진은 만 20세 이상 성인에게 2년마다 제공됩니다.,https://example.com/checkup/faq/additional,2026-01-05T12:52:37.779825+00:00
